TABLE_NAME	COLUMN_NAME	DATA_TYPE	COLUMN_KEY	EXTRA
cid_channels_recent_085239235109	dest_uniqueid	varchar		
cid_channels_recent_085239235109	uniqueid	varchar		
cid_channels_recent_135148171020	caller_id_name	varchar		
cid_channels_recent_135148171020	connected_line_name	varchar		
cid_channels_recent_135148171020	call_date	datetime	MUL	
cid_channels_recent_135148171020	channel	varchar		
cid_channels_recent_135148171020	dest_channel	varchar		
cid_channels_recent_135148171020	linkedid	varchar		
cid_channels_recent_135148171020	dest_uniqueid	varchar		
cid_channels_recent_135148171020	uniqueid	varchar		
cid_channels_recent_135148171091	caller_id_name	varchar		
cid_channels_recent_135148171091	connected_line_name	varchar		
cid_channels_recent_135148171091	call_date	datetime	MUL	
cid_channels_recent_135148171091	channel	varchar		
cid_channels_recent_135148171091	dest_channel	varchar		
cid_channels_recent_135148171091	linkedid	varchar		
cid_channels_recent_135148171091	dest_uniqueid	varchar		
cid_channels_recent_135148171091	uniqueid	varchar		
cid_channels_recent_147135065086	caller_id_name	varchar		
cid_channels_recent_147135065086	connected_line_name	varchar		
cid_channels_recent_147135065086	call_date	datetime	MUL	
cid_channels_recent_147135065086	channel	varchar		
cid_channels_recent_147135065086	dest_channel	varchar		
cid_channels_recent_147135065086	linkedid	varchar		
cid_channels_recent_147135065086	dest_uniqueid	varchar		
cid_channels_recent_147135065086	uniqueid	varchar		
cid_channels_recent_147135070235	caller_id_name	varchar		
cid_channels_recent_147135070235	connected_line_name	varchar		
cid_channels_recent_147135070235	call_date	datetime	MUL	
cid_channels_recent_147135070235	channel	varchar		
cid_channels_recent_147135070235	dest_channel	varchar		
cid_channels_recent_147135070235	linkedid	varchar		
cid_channels_recent_147135070235	dest_uniqueid	varchar		
cid_channels_recent_147135070235	uniqueid	varchar		
cid_channels_recent_148113193138	caller_id_name	varchar		
cid_channels_recent_148113193138	connected_line_name	varchar		
cid_channels_recent_148113193138	call_date	datetime	MUL	
cid_channels_recent_148113193138	channel	varchar		
cid_channels_recent_148113193138	dest_channel	varchar		
cid_channels_recent_148113193138	linkedid	varchar		
cid_channels_recent_148113193138	dest_uniqueid	varchar		
cid_channels_recent_148113193138	uniqueid	varchar		
cid_channels_recent_149028096244	caller_id_name	varchar		
cid_channels_recent_149028096244	connected_line_name	varchar		
cid_channels_recent_149028096244	call_date	datetime	MUL	
cid_channels_recent_149028096244	channel	varchar		
cid_channels_recent_149028096244	dest_channel	varchar		
cid_channels_recent_149028096244	linkedid	varchar		
cid_channels_recent_149028096244	dest_uniqueid	varchar		
cid_channels_recent_149028096244	uniqueid	varchar		
clr_log	clr_id	int	PRI	auto_increment
clr_log	start_time	datetime	MUL	
clr_log	begin_range	datetime		
clr_log	range_minutes	smallint		
clr_log	phase	varchar		
clr_log	records_ct	mediumint		
clr_log	length_in_sec	mediumint		
clr_log	options	varchar		
clr_log	server_ip	varchar		
clr_log	processing_log	text		
conferences	conf_exten	int	PRI	
conferences	server_ip	varchar	PRI	
conferences	extension	varchar		
contact_information	contact_id	int	PRI	auto_increment
contact_information	first_name	varchar	MUL	
contact_information	last_name	varchar	MUL	
contact_information	office_num	varchar		
contact_information	cell_num	varchar		
contact_information	other_num1	varchar		
contact_information	other_num2	varchar		
contact_information	bu_name	varchar		
contact_information	department	varchar		
contact_information	group_name	varchar		
contact_information	job_title	varchar		
contact_information	location	varchar		
dialable_inventory_snapshots	snapshot_id	int	PRI	auto_increment
dialable_inventory_snapshots	snapshot_time	datetime	MUL	
dialable_inventory_snapshots	list_id	bigint		
dialable_inventory_snapshots	list_name	varchar		
dialable_inventory_snapshots	list_description	varchar		
dialable_inventory_snapshots	campaign_id	varchar		
dialable_inventory_snapshots	list_lastcalldate	varchar		
dialable_inventory_snapshots	list_start_inv	mediumint		
dialable_inventory_snapshots	dialable_count	mediumint		
dialable_inventory_snapshots	dialable_count_nofilter	mediumint		
dialable_inventory_snapshots	dialable_count_oneoff	mediumint		
dialable_inventory_snapshots	dialable_count_inactive	mediumint		
dialable_inventory_snapshots	average_call_count	decimal		
dialable_inventory_snapshots	penetration	decimal		
dialable_inventory_snapshots	shift_data	text		
dialable_inventory_snapshots	time_setting	enum		
gateway_recording_log	gateway_recording_id	int	PRI	auto_increment
gateway_recording_log	recording_log_id	int		
gateway_recording_log	call_direction	enum		
gateway_recording_log	call_id	varchar	MUL	
gateway_recording_log	lead_id	int	MUL	
gateway_recording_log	uniqueid	varchar		
