TABLE_NAME,COLUMN_NAME
cid_channels_recent_149028096244,connected_line_name
cid_channels_recent_149028096244,call_date
cid_channels_recent_149028096244,channel
cid_channels_recent_149028096244,dest_channel
cid_channels_recent_149028096244,linkedid
cid_channels_recent_149028096244,dest_uniqueid
cid_channels_recent_149028096244,uniqueid
clr_log,clr_id
clr_log,start_time
clr_log,begin_range
clr_log,range_minutes
clr_log,phase
clr_log,records_ct
clr_log,length_in_sec
clr_log,options
clr_log,server_ip
clr_log,processing_log
conferences,conf_exten
conferences,server_ip
conferences,extension
contact_information,contact_id
contact_information,first_name
contact_information,last_name
contact_information,office_num
contact_information,cell_num
contact_information,other_num1
contact_information,other_num2
contact_information,bu_name
contact_information,department
contact_information,group_name
contact_information,job_title
contact_information,location
dialable_inventory_snapshots,snapshot_id
dialable_inventory_snapshots,snapshot_time
dialable_inventory_snapshots,list_id
dialable_inventory_snapshots,list_name
dialable_inventory_snapshots,list_description
dialable_inventory_snapshots,campaign_id
dialable_inventory_snapshots,list_lastcalldate
dialable_inventory_snapshots,list_start_inv
dialable_inventory_snapshots,dialable_count
dialable_inventory_snapshots,dialable_count_nofilter
dialable_inventory_snapshots,dialable_count_oneoff
dialable_inventory_snapshots,dialable_count_inactive
dialable_inventory_snapshots,average_call_count
dialable_inventory_snapshots,penetration
dialable_inventory_snapshots,shift_data
dialable_inventory_snapshots,time_setting
gateway_recording_log,gateway_recording_id
gateway_recording_log,recording_log_id
gateway_recording_log,call_direction
gateway_recording_log,call_id
gateway_recording_log,lead_id
gateway_recording_log,uniqueid
gateway_recording_log,server_ip
gateway_recording_log,caller_id_number
gateway_recording_log,caller_id_name
gateway_recording_log,extension
gateway_recording_log,start_time
gateway_recording_log,end_time
gateway_recording_log,length_in_sec
gateway_recording_log,filename
gateway_recording_log,location
groups_alias,group_alias_id
groups_alias,group_alias_name
groups_alias,caller_id_number
groups_alias,caller_id_name
groups_alias,active
groups_alias,user_group
hci_logs,date
hci_logs,user
hci_logs,lead_id
hci_logs,campaign_id
help_documentation,help_id
help_documentation,help_title
help_documentation,help_text
inbound_disabled_entries,interval_id
inbound_disabled_entries,start_datetime
inbound_disabled_entries,end_datetime
inbound_disabled_entries,location
inbound_disabled_entries,message
inbound_disabled_entries,message_type
inbound_disabled_entries,status
inbound_disabled_entries,user
inbound_disabled_entries,modify_date
inbound_disabled_entries,modified_by
inbound_disabled_entries,holiday_id
inbound_email_attachments,attachment_id
inbound_email_attachments,email_row_id
inbound_email_attachments,filename
inbound_email_attachments,file_type
inbound_email_attachments,file_encoding
inbound_email_attachments,file_size
inbound_email_attachments,file_extension
inbound_email_attachments,file_contents
inbound_numbers,extension
inbound_numbers,full_number
inbound_numbers,server_ip
inbound_numbers,inbound_name
inbound_numbers,department
leave_vm_message_groups,leave_vm_message_group_id
leave_vm_message_groups,leave_vm_message_group_notes
leave_vm_message_groups,active
leave_vm_message_groups,user_group
leave_vm_message_groups_entries,leave_vm_message_group_id
leave_vm_message_groups_entries,audio_filename
leave_vm_message_groups_entries,audio_name
leave_vm_message_groups_entries,rank
leave_vm_message_groups_entries,time_start
leave_vm_message_groups_entries,time_end
live_channels,channel
live_channels,server_ip
live_channels,channel_group
live_channels,extension
live_channels,channel_data
live_inbound,uniqueid
live_inbound,channel
live_inbound,server_ip
live_inbound,caller_id
live_inbound,extension
live_inbound,phone_ext
live_inbound,start_time
live_inbound,acknowledged
live_inbound,inbound_number
live_inbound,comment_a
live_inbound,comment_b
live_inbound,comment_c
live_inbound,comment_d
live_inbound,comment_e
live_inbound_log,uniqueid
live_inbound_log,channel
live_inbound_log,server_ip
live_inbound_log,caller_id
live_inbound_log,extension
live_inbound_log,phone_ext
live_inbound_log,start_time
live_inbound_log,acknowledged
live_inbound_log,inbound_number
live_inbound_log,comment_a
live_inbound_log,comment_b
live_inbound_log,comment_c
live_inbound_log,comment_d
live_inbound_log,comment_e
live_sip_channels,channel
live_sip_channels,server_ip
live_sip_channels,channel_group
live_sip_channels,extension
live_sip_channels,channel_data
nanpa_prefix_exchanges_fast,ac_prefix
nanpa_prefix_exchanges_fast,type
nanpa_prefix_exchanges_master,areacode
nanpa_prefix_exchanges_master,prefix
nanpa_prefix_exchanges_master,source
nanpa_prefix_exchanges_master,type
nanpa_prefix_exchanges_master,tier
nanpa_prefix_exchanges_master,postal_code
nanpa_prefix_exchanges_master,new_areacode
nanpa_prefix_exchanges_master,tzcode
nanpa_prefix_exchanges_master,region
nanpa_wired_to_wireless,phone
nanpa_wireless_to_wired,phone
park_log,uniqueid
park_log,status
park_log,channel
park_log,channel_group
park_log,server_ip
park_log,parked_time
park_log,grab_time
park_log,hangup_time
park_log,parked_sec
park_log,talked_sec
park_log,extension
park_log,user
park_log,lead_id
park_log,campaign_id
park_log_archive,uniqueid
park_log_archive,status
park_log_archive,channel
park_log_archive,channel_group
park_log_archive,server_ip
park_log_archive,parked_time
park_log_archive,grab_time
park_log_archive,hangup_time
park_log_archive,parked_sec
park_log_archive,talked_sec
park_log_archive,extension
park_log_archive,user
park_log_archive,lead_id
park_log_archive,campaign_id
parked_channels,channel
parked_channels,server_ip
parked_channels,channel_group
parked_channels,extension
parked_channels,parked_by
parked_channels,parked_time
parked_channels_recent,channel
parked_channels_recent,server_ip
parked_channels_recent,channel_group
parked_channels_recent,park_end_time
phone_favorites,extension
phone_favorites,server_ip
phone_favorites,extensions_list
phones,extension
phones,dialplan_number
phones,voicemail_id
phones,phone_ip
phones,computer_ip
phones,server_ip
phones,login
phones,pass
phones,status
phones,active
phones,phone_type
phones,fullname
phones,company
phones,picture
phones,messages
phones,old_messages
phones,protocol
phones,local_gmt
phones,ASTmgrUSERNAME
phones,ASTmgrSECRET
phones,login_user
phones,login_pass
phones,login_campaign
phones,park_on_extension
phones,conf_on_extension
phones,VICIDIAL_park_on_extension
phones,VICIDIAL_park_on_filename
phones,monitor_prefix
phones,recording_exten
phones,voicemail_exten
phones,voicemail_dump_exten
phones,ext_context
phones,dtmf_send_extension
phones,call_out_number_group
phones,client_browser
phones,install_directory
phones,local_web_callerID_URL
phones,VICIDIAL_web_URL
phones,AGI_call_logging_enabled
phones,user_switching_enabled
phones,conferencing_enabled
phones,admin_hangup_enabled
phones,admin_hijack_enabled
phones,admin_monitor_enabled
phones,call_parking_enabled
phones,updater_check_enabled
phones,AFLogging_enabled
phones,QUEUE_ACTION_enabled
phones,CallerID_popup_enabled
phones,voicemail_button_enabled
phones,enable_fast_refresh
phones,fast_refresh_rate
phones,enable_persistant_mysql
phones,auto_dial_next_number
phones,VDstop_rec_after_each_call
phones,DBX_server
phones,DBX_database
phones,DBX_user
phones,DBX_pass
phones,DBX_port
phones,DBY_server
phones,DBY_database
phones,DBY_user
phones,DBY_pass
phones,DBY_port
phones,outbound_cid
phones,enable_sipsak_messages
phones,email
phones,template_id
phones,conf_override
phones,phone_context
phones,phone_ring_timeout
phones,conf_secret
phones,delete_vm_after_email
phones,is_webphone
phones,use_external_server_ip
phones,codecs_list
phones,codecs_with_template
phones,webphone_dialpad
phones,on_hook_agent
phones,webphone_auto_answer
phones,voicemail_timezone
phones,voicemail_options
phones,user_group
phones,voicemail_greeting
phones,voicemail_dump_exten_no_inst
phones,voicemail_instructions
phones,on_login_report
phones,unavail_dialplan_fwd_exten
phones,unavail_dialplan_fwd_context
phones,nva_call_url
phones,nva_search_method
phones,nva_error_filename
phones,nva_new_list_id
phones,nva_new_phone_code
phones,nva_new_status
phones,webphone_dialbox
phones,webphone_mute
phones,webphone_volume
phones,webphone_debug
phones,outbound_alt_cid
phones,conf_qualify
phones,webphone_layout
phones,mohsuggest
phones,peer_status
phones,ping_time
phones,webphone_settings
phones_alias,alias_id
phones_alias,alias_name
phones_alias,logins_list
phones_alias,user_group
quality_control_checkpoint_log,qc_checkpoint_log_id
quality_control_checkpoint_log,qc_log_id
quality_control_checkpoint_log,campaign_id
quality_control_checkpoint_log,group_id
quality_control_checkpoint_log,list_id
quality_control_checkpoint_log,qc_scorecard_id
quality_control_checkpoint_log,checkpoint_row_id
quality_control_checkpoint_log,checkpoint_text
quality_control_checkpoint_log,checkpoint_text_presets
quality_control_checkpoint_log,checkpoint_rank
quality_control_checkpoint_log,checkpoint_points
quality_control_checkpoint_log,instant_fail
quality_control_checkpoint_log,instant_fail_value
quality_control_checkpoint_log,checkpoint_points_earned
quality_control_checkpoint_log,qc_agent
quality_control_checkpoint_log,checkpoint_comment_agent
quality_control_checkpoints,checkpoint_row_id
quality_control_checkpoints,qc_scorecard_id
quality_control_checkpoints,checkpoint_text
quality_control_checkpoints,checkpoint_text_presets
quality_control_checkpoints,checkpoint_rank
quality_control_checkpoints,checkpoint_points
quality_control_checkpoints,instant_fail
quality_control_checkpoints,admin_notes
quality_control_checkpoints,active
quality_control_checkpoints,campaign_ids
quality_control_checkpoints,ingroups
quality_control_checkpoints,list_ids
quality_control_checkpoints,create_date
quality_control_checkpoints,create_user
quality_control_checkpoints,modify_date
quality_control_checkpoints,modify_user
quality_control_queue,qc_log_id
quality_control_queue,qc_display_method
quality_control_queue,lead_id
quality_control_queue,status
quality_control_queue,call_date
quality_control_queue,agent_log_id
quality_control_queue,user
quality_control_queue,user_group
quality_control_queue,campaign_id
quality_control_queue,group_id
quality_control_queue,list_id
quality_control_queue,scorecard_source
quality_control_queue,qc_web_form_address
quality_control_queue,vicidial_id
quality_control_queue,recording_id
quality_control_queue,qc_scorecard_id
quality_control_queue,qc_agent
quality_control_queue,qc_user_group
quality_control_queue,qc_status
quality_control_queue,date_modified
quality_control_queue,date_claimed
quality_control_queue,date_completed
quality_control_scorecards,qc_scorecard_id
quality_control_scorecards,scorecard_name
quality_control_scorecards,active
quality_control_scorecards,passing_score
quality_control_scorecards,last_modified
recording_log,recording_id
recording_log,channel
recording_log,server_ip
recording_log,extension
recording_log,start_time
recording_log,start_epoch
recording_log,end_time
recording_log,end_epoch
recording_log,length_in_sec
recording_log,length_in_min
recording_log,filename
recording_log,location
recording_log,lead_id
recording_log,user
recording_log,vicidial_id
recording_log_archive,recording_id
recording_log_archive,channel
recording_log_archive,server_ip
recording_log_archive,extension
recording_log_archive,start_time
recording_log_archive,start_epoch
recording_log_archive,end_time
recording_log_archive,end_epoch
recording_log_archive,length_in_sec
recording_log_archive,length_in_min
recording_log_archive,filename
recording_log_archive,location
recording_log_archive,lead_id
recording_log_archive,user
recording_log_archive,vicidial_id
recording_log_deletion_queue,recording_id
recording_log_deletion_queue,lead_id
recording_log_deletion_queue,filename
recording_log_deletion_queue,location
recording_log_deletion_queue,date_queued
recording_log_deletion_queue,date_deleted
recording_log_stereo,recording_id
